Student Name,Student ID,Email,Attendance,Average Grade,Behavioral Score,Risk Score,Age,Gender,Scholarship,Debt,Tuition Up To Date,Courses Enrolled,Courses Passed
Student STU0021,STU0021,stu0021@example.com,59.8,69.7,8,15,24,Female,Yes,No,Yes,6,5
Student STU0022,STU0022,stu0022@example.com,71.8,91.8,8,15,22,Male,No,No,Yes,5,4
Student STU0023,STU0023,stu0023@example.com,79.2,90.6,8,15,20,Male,No,No,Yes,6,6
Student STU0024,STU0024,stu0024@example.com,78.7,93.6,8,15,24,Female,No,No,Yes,5,5
Student STU0025,STU0025,stu0025@example.com,68.9,67.6,8,15,20,Male,No,No,Yes,6,6
Student STU0026,STU0026,stu0026@example.com,69.9,73.1,8,15,19,Female,No,No,Yes,5,5
Student STU0027,STU0027,stu0027@example.com,70.4,94.6,8,15,25,Female,No,No,Yes,7,7
Student STU0028,STU0028,stu0028@example.com,62.0,66.0,8,15,19,Female,Yes,Yes,Yes,4,4
Student STU0029,STU0029,stu0029@example.com,33.6,24.2,8,95,20,Male,No,Yes,No,5,3
Student STU0030,STU0030,stu0030@example.com,83.8,66.1,8,15,19,Female,Yes,No,Yes,4,4
Student STU0031,STU0031,stu0031@example.com,73.9,87.5,8,15,21,Male,No,No,Yes,4,4
Student STU0032,STU0032,stu0032@example.com,0.7,2.1,8,95,19,Female,No,No,Yes,5,2
Student STU0033,STU0033,stu0033@example.com,70.2,94.7,8,15,20,Female,No,No,Yes,4,3
Student STU0034,STU0034,stu0034@example.com,77.0,87.7,8,15,19,Male,Yes,No,Yes,4,4
Student STU0035,STU0035,stu0035@example.com,83.3,69.0,8,15,18,Female,No,Yes,No,6,5
Student STU0036,STU0036,stu0036@example.com,83.4,92.2,8,15,22,Male,No,No,Yes,7,7
Student STU0037,STU0037,stu0037@example.com,62.2,66.3,8,15,24,Male,No,No,No,4,3
Student STU0038,STU0038,stu0038@example.com,46.4,20.9,8,95,25,Female,No,No,No,6,4
Student STU0039,STU0039,stu0039@example.com,73.2,75.2,8,15,18,Female,No,Yes,Yes,5,5
Student STU0040,STU0040,stu0040@example.com,78.2,86.9,8,15,22,Female,Yes,Yes,Yes,6,5
Student STU0041,STU0041,stu0041@example.com,62.9,85.5,8,15,21,Male,No,No,Yes,7,6
Student STU0042,STU0042,stu0042@example.com,80.6,69.7,8,15,25,Male,No,No,Yes,5,4
Student STU0043,STU0043,stu0043@example.com,33.0,4.0,8,95,21,Male,No,No,Yes,3,1
Student STU0044,STU0044,stu0044@example.com,76.3,79.8,8,15,25,Female,No,No,Yes,4,4
Student STU0045,STU0045,stu0045@example.com,73.6,84.4,8,15,20,Female,No,No,Yes,7,6
Student STU0046,STU0046,stu0046@example.com,86.1,81.6,8,15,25,Female,No,Yes,No,7,6
Student STU0047,STU0047,stu0047@example.com,76.6,81.1,8,15,24,Male,No,Yes,Yes,5,5
Student STU0048,STU0048,stu0048@example.com,89.4,98.4,8,15,21,Female,Yes,No,Yes,4,3
Student STU0049,STU0049,stu0049@example.com,82.8,83.8,8,15,25,Female,No,No,Yes,4,3
Student STU0050,STU0050,stu0050@example.com,98.6,79.3,8,15,25,Male,Yes,No,Yes,6,5
Student STU0051,STU0051,stu0051@example.com,56.2,83.1,8,15,21,Female,No,No,Yes,4,3
Student STU0052,STU0052,stu0052@example.com,84.7,87.8,8,15,23,Male,Yes,No,Yes,7,6
Student STU0053,STU0053,stu0053@example.com,70.9,76.3,8,15,23,Female,No,Yes,Yes,7,7
Student STU0054,STU0054,stu0054@example.com,58.2,71.9,8,15,25,Male,Yes,No,Yes,7,6
Student STU0055,STU0055,stu0055@example.com,78.1,78.8,8,15,25,Female,Yes,No,Yes,5,4
Student STU0056,STU0056,stu0056@example.com,81.0,75.6,8,15,18,Male,Yes,No,Yes,7,7
Student STU0057,STU0057,stu0057@example.com,57.3,76.6,8,15,24,Female,No,No,Yes,7,7
Student STU0058,STU0058,stu0058@example.com,0.0,0.0,8,95,25,Male,Yes,Yes,No,3,2
Student STU0059,STU0059,stu0059@example.com,74.0,67.9,8,15,21,Female,No,No,Yes,7,7
Student STU0060,STU0060,stu0060@example.com,95.7,73.1,8,15,22,Female,No,No,Yes,7,6
Student STU0061,STU0061,stu0061@example.com,85.4,81.1,8,15,19,Male,No,No,Yes,7,7
Student STU0062,STU0062,stu0062@example.com,64.7,87.5,8,15,18,Male,No,Yes,Yes,5,4
Student STU0063,STU0063,stu0063@example.com,71.7,67.8,8,15,25,Male,No,No,Yes,7,6
Student STU0064,STU0064,stu0064@example.com,84.0,99.3,8,15,20,Female,No,No,Yes,4,4
Student STU0065,STU0065,stu0065@example.com,66.1,70.5,8,15,24,Female,No,No,Yes,5,5
Student STU0066,STU0066,stu0066@example.com,78.2,71.4,8,15,24,Female,Yes,No,Yes,4,3
Student STU0067,STU0067,stu0067@example.com,77.4,66.1,8,15,19,Female,No,Yes,Yes,7,7
Student STU0068,STU0068,stu0068@example.com,56.7,74.7,8,15,24,Female,No,No,Yes,5,5
Student STU0069,STU0069,stu0069@example.com,86.7,66.5,8,15,18,Female,Yes,No,Yes,7,7
Student STU0070,STU0070,stu0070@example.com,80.5,79.1,8,15,22,Male,No,No,Yes,4,4
Student STU0071,STU0071,stu0071@example.com,60.8,71.5,8,15,22,Female,Yes,No,Yes,6,6
Student STU0072,STU0072,stu0072@example.com,72.3,75.2,8,15,21,Female,No,No,Yes,7,6
Student STU0073,STU0073,stu0073@example.com,84.5,73.7,8,15,22,Male,Yes,No,No,6,5
Student STU0074,STU0074,stu0074@example.com,69.1,75.3,8,15,20,Female,No,No,Yes,4,4
Student STU0075,STU0075,stu0075@example.com,74.7,66.1,8,15,18,Female,No,No,Yes,7,6
Student STU0076,STU0076,stu0076@example.com,33.8,28.3,8,95,24,Female,Yes,Yes,Yes,4,3
Student STU0077,STU0077,stu0077@example.com,31.9,39.4,8,95,18,Female,No,Yes,No,5,4
Student STU0078,STU0078,stu0078@example.com,96.6,85.6,8,15,21,Female,No,No,Yes,5,4
Student STU0079,STU0079,stu0079@example.com,45.6,40.8,8,95,23,Female,No,No,No,4,3
Student STU0080,STU0080,stu0080@example.com,85.2,86.5,8,15,18,Female,Yes,No,Yes,4,4
Student STU0081,STU0081,stu0081@example.com,32.9,7.3,8,95,23,Female,No,No,Yes,5,0
Student STU0082,STU0082,stu0082@example.com,91.0,66.8,8,15,24,Female,Yes,Yes,No,6,6
Student STU0083,STU0083,stu0083@example.com,78.2,81.4,8,15,20,Male,No,Yes,Yes,4,4
Student STU0084,STU0084,stu0084@example.com,83.5,94.7,8,15,21,Female,Yes,No,No,4,4
Student STU0085,STU0085,stu0085@example.com,93.5,75.3,8,15,21,Male,Yes,No,Yes,4,3
Student STU0086,STU0086,stu0086@example.com,24.1,9.1,8,95,25,Male,Yes,Yes,No,5,1
Student STU0087,STU0087,stu0087@example.com,71.3,96.3,8,15,25,Male,Yes,No,Yes,7,7
Student STU0088,STU0088,stu0088@example.com,96.9,73.2,8,15,20,Female,No,No,Yes,4,3
Student STU0089,STU0089,stu0089@example.com,89.2,71.4,8,15,20,Male,No,Yes,No,6,5
Student STU0090,STU0090,stu0090@example.com,42.4,18.9,8,95,22,Male,No,No,Yes,5,2
Student STU0091,STU0091,stu0091@example.com,36.1,35.6,8,95,25,Male,Yes,Yes,Yes,4,2
Student STU0092,STU0092,stu0092@example.com,87.8,93.8,8,15,19,Female,Yes,No,Yes,7,6
Student STU0093,STU0093,stu0093@example.com,37.3,36.9,8,95,20,Male,Yes,No,Yes,5,4
Student STU0094,STU0094,stu0094@example.com,98.7,70.9,8,15,19,Male,No,No,Yes,4,3
Student STU0095,STU0095,stu0095@example.com,86.2,96.9,8,15,25,Male,Yes,No,Yes,7,7
Student STU0096,STU0096,stu0096@example.com,94.6,76.6,8,15,22,Male,No,Yes,Yes,4,4
Student STU0097,STU0097,stu0097@example.com,61.8,96.0,8,15,25,Male,Yes,No,Yes,6,5
Student STU0098,STU0098,stu0098@example.com,92.9,88.9,8,15,24,Female,No,No,Yes,6,5
Student STU0099,STU0099,stu0099@example.com,77.1,94.2,8,15,22,Female,No,No,Yes,4,4
Student STU0100,STU0100,stu0100@example.com,63.8,88.1,8,15,23,Male,Yes,No,Yes,6,6
Student STU0101,STU0101,stu0101@example.com,6.2,4.8,8,95,24,Female,Yes,No,No,6,1
Student STU0102,STU0102,stu0102@example.com,89.5,80.4,8,15,23,Female,No,No,Yes,7,6
Student STU0103,STU0103,stu0103@example.com,87.7,83.5,8,15,18,Male,Yes,No,Yes,5,5
Student STU0104,STU0104,stu0104@example.com,81.1,81.2,8,15,20,Male,Yes,No,Yes,4,3
Student STU0105,STU0105,stu0105@example.com,89.2,89.0,8,15,21,Male,Yes,Yes,Yes,4,4
Student STU0106,STU0106,stu0106@example.com,86.8,75.2,8,15,23,Female,Yes,No,Yes,5,5
Student STU0107,STU0107,stu0107@example.com,27.6,15.5,8,95,21,Female,No,Yes,Yes,4,2
Student STU0108,STU0108,stu0108@example.com,79.6,69.9,8,15,23,Male,No,Yes,Yes,4,3
Student STU0109,STU0109,stu0109@example.com,79.2,78.2,8,15,25,Female,Yes,No,Yes,7,7
Student STU0110,STU0110,stu0110@example.com,88.2,72.6,8,15,21,Male,No,No,No,6,6
Student STU0111,STU0111,stu0111@example.com,82.7,96.3,8,15,20,Male,No,Yes,Yes,7,6
Student STU0112,STU0112,stu0112@example.com,41.8,42.9,8,95,25,Male,Yes,Yes,No,3,0
Student STU0113,STU0113,stu0113@example.com,92.4,98.7,8,15,25,Male,No,No,Yes,7,6
Student STU0114,STU0114,stu0114@example.com,55.5,94.2,8,15,20,Male,No,No,Yes,6,5
Student STU0115,STU0115,stu0115@example.com,17.7,41.7,8,95,25,Male,No,No,No,4,3
Student STU0116,STU0116,stu0116@example.com,98.7,97.9,8,15,22,Female,Yes,No,Yes,5,4
Student STU0117,STU0117,stu0117@example.com,23.5,19.1,8,95,21,Female,No,Yes,Yes,5,0
Student STU0118,STU0118,stu0118@example.com,72.9,87.4,8,15,18,Female,No,No,Yes,5,5
Student STU0119,STU0119,stu0119@example.com,72.4,69.5,8,15,23,Male,No,No,Yes,7,7
Student STU0120,STU0120,stu0120@example.com,72.8,88.3,8,15,24,Female,Yes,No,Yes,7,6
Student STU0121,STU0121,stu0121@example.com,82.6,79.7,8,15,25,Female,Yes,Yes,Yes,6,6
Student STU0122,STU0122,stu0122@example.com,77.8,63.8,8,15,21,Male,No,No,Yes,5,4
Student STU0123,STU0123,stu0123@example.com,93.5,79.1,8,15,20,Male,Yes,No,Yes,4,4
Student STU0124,STU0124,stu0124@example.com,68.7,84.7,8,15,19,Male,Yes,No,Yes,4,4
Student STU0125,STU0125,stu0125@example.com,81.1,77.1,8,15,22,Female,No,No,Yes,4,4
Student STU0126,STU0126,stu0126@example.com,72.2,73.6,8,15,21,Female,Yes,Yes,No,7,7
Student STU0127,STU0127,stu0127@example.com,76.8,82.5,8,15,19,Female,No,No,Yes,6,5
Student STU0128,STU0128,stu0128@example.com,70.5,79.2,8,15,19,Female,No,No,Yes,4,4
Student STU0129,STU0129,stu0129@example.com,69.0,94.1,8,15,20,Male,No,Yes,Yes,7,6
Student STU0130,STU0130,stu0130@example.com,98.0,89.6,8,15,21,Female,No,No,Yes,5,4
Student STU0131,STU0131,stu0131@example.com,36.7,25.2,8,95,25,Female,No,Yes,Yes,4,1
Student STU0132,STU0132,stu0132@example.com,85.9,87.1,8,15,19,Female,No,No,Yes,5,4
Student STU0133,STU0133,stu0133@example.com,92.6,84.2,8,15,19,Male,Yes,Yes,Yes,7,6
Student STU0134,STU0134,stu0134@example.com,97.7,88.4,8,15,23,Male,Yes,No,Yes,7,7
Student STU0135,STU0135,stu0135@example.com,83.4,94.2,8,15,22,Female,No,No,Yes,6,6
Student STU0136,STU0136,stu0136@example.com,90.8,73.4,8,15,24,Male,No,Yes,Yes,5,4
Student STU0137,STU0137,stu0137@example.com,58.6,81.6,8,15,21,Female,No,No,Yes,4,4
Student STU0138,STU0138,stu0138@example.com,50.6,6.8,8,95,18,Male,No,Yes,No,6,4
Student STU0139,STU0139,stu0139@example.com,14.0,9.0,8,95,24,Male,No,Yes,Yes,3,0
Student STU0140,STU0140,stu0140@example.com,20.4,9.4,8,95,18,Male,No,Yes,No,6,0
Student STU0141,STU0141,stu0141@example.com,86.9,70.5,8,15,24,Female,No,Yes,Yes,7,7
Student STU0142,STU0142,stu0142@example.com,33.3,11.1,8,95,23,Male,No,Yes,Yes,5,2
Student STU0143,STU0143,stu0143@example.com,85.1,61.6,8,15,19,Male,No,No,Yes,5,5
Student STU0144,STU0144,stu0144@example.com,19.1,5.3,8,95,22,Male,No,Yes,Yes,5,1
Student STU0145,STU0145,stu0145@example.com,66.7,88.8,8,15,18,Male,No,No,Yes,5,4
Student STU0146,STU0146,stu0146@example.com,91.4,90.6,8,15,21,Female,No,Yes,Yes,7,7
Student STU0147,STU0147,stu0147@example.com,33.9,7.3,8,95,23,Male,Yes,No,Yes,6,4
Student STU0148,STU0148,stu0148@example.com,94.1,95.6,8,15,25,Male,Yes,No,Yes,5,4
Student STU0149,STU0149,stu0149@example.com,98.2,72.5,8,15,25,Female,No,No,Yes,4,3
Student STU0150,STU0150,stu0150@example.com,36.3,7.9,8,95,25,Male,No,Yes,Yes,5,0
Student STU0151,STU0151,stu0151@example.com,93.3,78.2,8,15,21,Female,Yes,Yes,Yes,5,5
Student STU0152,STU0152,stu0152@example.com,56.5,86.2,8,15,19,Male,No,No,Yes,5,5
Student STU0153,STU0153,stu0153@example.com,20.5,24.7,8,95,20,Male,No,Yes,No,6,2
Student STU0154,STU0154,stu0154@example.com,88.9,67.0,8,15,25,Female,Yes,No,Yes,5,4
Student STU0155,STU0155,stu0155@example.com,39.4,11.9,8,95,19,Female,No,No,No,6,2
Student STU0156,STU0156,stu0156@example.com,49.6,0.0,8,95,23,Female,No,Yes,No,6,4
Student STU0157,STU0157,stu0157@example.com,0.0,8.8,8,95,18,Male,No,No,No,4,3
Student STU0158,STU0158,stu0158@example.com,8.9,38.4,8,95,19,Female,No,Yes,Yes,3,1
Student STU0159,STU0159,stu0159@example.com,20.3,41.9,8,95,20,Female,Yes,Yes,Yes,5,3
Student STU0160,STU0160,stu0160@example.com,93.8,84.0,8,15,23,Male,No,No,Yes,5,5
Student STU0161,STU0161,stu0161@example.com,84.1,65.5,8,15,25,Male,No,No,Yes,7,7
Student STU0162,STU0162,stu0162@example.com,56.1,91.4,8,15,19,Male,No,No,Yes,7,6
Student STU0163,STU0163,stu0163@example.com,59.1,66.1,8,15,22,Male,Yes,Yes,Yes,6,6
Student STU0164,STU0164,stu0164@example.com,97.8,66.8,8,15,23,Female,No,Yes,Yes,7,6
Student STU0165,STU0165,stu0165@example.com,87.2,66.5,8,15,21,Male,No,No,Yes,5,5
Student STU0166,STU0166,stu0166@example.com,0.0,3.2,8,95,20,Male,No,No,No,3,0
Student STU0167,STU0167,stu0167@example.com,77.2,81.6,8,15,20,Female,No,No,Yes,4,4
Student STU0168,STU0168,stu0168@example.com,84.3,80.5,8,15,23,Male,No,No,Yes,5,4
Student STU0169,STU0169,stu0169@example.com,69.0,78.2,8,15,25,Female,Yes,Yes,Yes,7,6
Student STU0170,STU0170,stu0170@example.com,68.7,75.5,8,15,25,Female,No,No,Yes,6,6
Student STU0171,STU0171,stu0171@example.com,73.7,83.0,8,15,21,Male,No,No,Yes,5,5
Student STU0172,STU0172,stu0172@example.com,30.6,17.3,8,95,24,Female,Yes,No,No,4,1
Student STU0173,STU0173,stu0173@example.com,67.3,89.1,8,15,20,Female,Yes,Yes,Yes,7,7
Student STU0174,STU0174,stu0174@example.com,92.9,92.4,8,15,20,Female,Yes,No,Yes,6,5
Student STU0175,STU0175,stu0175@example.com,91.5,88.0,8,15,23,Male,Yes,No,No,7,7
Student STU0176,STU0176,stu0176@example.com,58.3,69.5,8,15,18,Female,No,No,Yes,5,5
Student STU0177,STU0177,stu0177@example.com,79.1,85.1,8,15,22,Male,No,No,Yes,4,4
Student STU0178,STU0178,stu0178@example.com,22.7,33.3,8,95,25,Male,No,No,Yes,3,0
Student STU0179,STU0179,stu0179@example.com,13.8,4.7,8,95,21,Male,No,Yes,Yes,5,4
Student STU0180,STU0180,stu0180@example.com,88.7,80.0,8,15,20,Male,Yes,No,Yes,7,6
Student STU0181,STU0181,stu0181@example.com,78.2,84.5,8,15,19,Female,Yes,No,No,4,3
Student STU0182,STU0182,stu0182@example.com,95.1,77.0,8,15,18,Male,Yes,No,Yes,5,4
Student STU0183,STU0183,stu0183@example.com,93.9,72.7,8,15,25,Male,Yes,No,Yes,6,5
Student STU0184,STU0184,stu0184@example.com,98.7,84.4,8,15,19,Female,No,No,Yes,7,6
Student STU0185,STU0185,stu0185@example.com,12.4,25.2,8,95,20,Female,Yes,Yes,No,6,4
Student STU0186,STU0186,stu0186@example.com,72.5,68.6,8,15,20,Male,No,No,Yes,6,6
Student STU0187,STU0187,stu0187@example.com,8.7,5.8,8,95,23,Male,No,No,Yes,3,2
Student STU0188,STU0188,stu0188@example.com,84.5,88.9,8,15,21,Male,Yes,No,Yes,6,6
Student STU0189,STU0189,stu0189@example.com,84.0,79.8,8,15,25,Female,Yes,No,Yes,5,5
Student STU0190,STU0190,stu0190@example.com,65.9,75.3,8,15,18,Male,Yes,No,Yes,4,4
Student STU0191,STU0191,stu0191@example.com,68.7,87.7,8,15,24,Male,Yes,No,Yes,6,5
Student STU0192,STU0192,stu0192@example.com,10.4,21.5,8,95,25,Male,No,Yes,Yes,6,0
Student STU0193,STU0193,stu0193@example.com,69.2,85.5,8,15,20,Male,No,No,Yes,5,4
Student STU0194,STU0194,stu0194@example.com,72.0,69.7,8,15,25,Male,Yes,No,Yes,5,4
Student STU0195,STU0195,stu0195@example.com,58.7,93.5,8,15,19,Male,Yes,No,Yes,6,5
Student STU0196,STU0196,stu0196@example.com,37.9,32.7,8,95,25,Female,No,No,Yes,6,1
Student STU0197,STU0197,stu0197@example.com,18.9,0.2,8,95,24,Male,No,Yes,No,3,2
Student STU0198,STU0198,stu0198@example.com,78.4,93.1,8,15,23,Male,No,No,Yes,6,5
Student STU0199,STU0199,stu0199@example.com,16.9,26.8,8,95,23,Male,No,No,Yes,3,1
Student STU0200,STU0200,stu0200@example.com,77.5,77.0,8,15,24,Male,Yes,No,Yes,6,6
Student STU0201,STU0201,stu0201@example.com,97.1,65.2,8,15,20,Male,No,Yes,Yes,6,6
Student STU0202,STU0202,stu0202@example.com,99.6,79.5,8,15,24,Female,No,No,No,5,4
Student STU0203,STU0203,stu0203@example.com,91.1,93.7,8,15,19,Male,No,No,Yes,6,6
Student STU0204,STU0204,stu0204@example.com,78.2,85.6,8,15,24,Female,No,No,Yes,7,7
Student STU0205,STU0205,stu0205@example.com,76.5,88.5,8,15,23,Female,No,No,Yes,5,4
Student STU0206,STU0206,stu0206@example.com,96.8,84.1,8,15,18,Female,No,No,Yes,6,6
Student STU0207,STU0207,stu0207@example.com,73.5,88.3,8,15,24,Male,Yes,No,Yes,5,5
Student STU0208,STU0208,stu0208@example.com,6.0,4.0,8,95,24,Female,No,Yes,Yes,6,5
Student STU0209,STU0209,stu0209@example.com,87.7,77.4,8,15,24,Female,No,No,Yes,6,5
Student STU0210,STU0210,stu0210@example.com,96.2,69.2,8,15,24,Female,Yes,No,Yes,4,4
Student STU0211,STU0211,stu0211@example.com,79.4,98.7,8,15,24,Male,No,No,Yes,7,7
Student STU0212,STU0212,stu0212@example.com,41.1,27.9,8,95,21,Male,No,Yes,No,6,5
Student STU0213,STU0213,stu0213@example.com,6.1,35.1,8,95,18,Male,Yes,Yes,Yes,3,2
Student STU0214,STU0214,stu0214@example.com,76.3,82.4,8,15,21,Male,Yes,No,Yes,5,4
Student STU0215,STU0215,stu0215@example.com,85.2,77.2,8,15,18,Male,No,No,Yes,4,4
Student STU0216,STU0216,stu0216@example.com,92.4,67.7,8,15,21,Female,No,No,Yes,5,5
Student STU0217,STU0217,stu0217@example.com,66.6,69.0,8,15,19,Female,Yes,Yes,Yes,5,4
Student STU0218,STU0218,stu0218@example.com,90.4,77.1,8,15,20,Male,Yes,No,Yes,5,4
Student STU0219,STU0219,stu0219@example.com,31.1,43.1,8,95,19,Female,Yes,Yes,Yes,4,3
Student STU0220,STU0220,stu0220@example.com,65.2,78.5,8,15,19,Female,Yes,No,Yes,4,4
Student STU0221,STU0221,stu0221@example.com,67.8,81.2,8,15,24,Female,Yes,No,Yes,4,3
Student STU0222,STU0222,stu0222@example.com,54.2,72.8,8,15,22,Male,No,No,Yes,5,5
Student STU0223,STU0223,stu0223@example.com,9.9,18.3,8,95,25,Female,No,Yes,Yes,4,2
Student STU0224,STU0224,stu0224@example.com,81.3,100.0,8,15,20,Female,No,No,Yes,5,4
Student STU0225,STU0225,stu0225@example.com,36.9,6.8,8,95,18,Male,No,No,No,5,1
Student STU0226,STU0226,stu0226@example.com,39.0,38.1,8,95,18,Male,Yes,Yes,No,3,2
Student STU0227,STU0227,stu0227@example.com,87.7,74.6,8,15,25,Male,Yes,No,Yes,4,3
Student STU0228,STU0228,stu0228@example.com,95.2,71.5,8,15,19,Female,No,No,Yes,5,5
Student STU0229,STU0229,stu0229@example.com,77.1,76.8,8,15,22,Female,Yes,No,Yes,4,4
Student STU0230,STU0230,stu0230@example.com,29.9,42.6,8,95,20,Male,No,Yes,No,4,1
Student STU0231,STU0231,stu0231@example.com,21.6,36.3,8,95,22,Male,No,Yes,No,6,3
Student STU0232,STU0232,stu0232@example.com,95.1,74.9,8,15,21,Female,No,Yes,Yes,6,5
Student STU0233,STU0233,stu0233@example.com,24.9,42.9,8,95,25,Male,No,No,Yes,4,0
Student STU0234,STU0234,stu0234@example.com,90.3,80.4,8,15,18,Male,No,No,Yes,6,5
Student STU0235,STU0235,stu0235@example.com,92.6,82.4,8,15,25,Female,Yes,No,Yes,7,7
Student STU0236,STU0236,stu0236@example.com,98.1,95.6,8,15,21,Female,Yes,No,Yes,6,5
Student STU0237,STU0237,stu0237@example.com,6.2,12.3,8,95,23,Female,Yes,Yes,No,6,3
Student STU0238,STU0238,stu0238@example.com,99.1,93.0,8,15,21,Female,No,No,Yes,7,7
Student STU0239,STU0239,stu0239@example.com,89.0,79.4,8,15,19,Female,No,No,Yes,4,4
Student STU0240,STU0240,stu0240@example.com,95.2,91.3,8,15,20,Male,No,No,Yes,7,6
Student STU0241,STU0241,stu0241@example.com,71.0,69.6,8,15,21,Male,Yes,No,Yes,6,5
Student STU0242,STU0242,stu0242@example.com,78.6,90.7,8,15,23,Female,No,Yes,No,7,6
Student STU0243,STU0243,stu0243@example.com,85.5,72.8,8,15,20,Male,Yes,No,Yes,7,6
Student STU0244,STU0244,stu0244@example.com,75.8,86.7,8,15,21,Male,No,No,Yes,5,5
Student STU0245,STU0245,stu0245@example.com,97.3,76.9,8,15,25,Male,No,Yes,Yes,7,7
Student STU0246,STU0246,stu0246@example.com,95.3,79.4,8,15,25,Female,Yes,No,Yes,4,4
Student STU0247,STU0247,stu0247@example.com,65.8,81.4,8,15,22,Male,No,No,Yes,7,6
Student STU0248,STU0248,stu0248@example.com,91.0,73.6,8,15,18,Female,Yes,No,Yes,5,5
Student STU0249,STU0249,stu0249@example.com,97.0,88.0,8,15,18,Male,No,No,Yes,4,3
Student STU0250,STU0250,stu0250@example.com,49.7,24.5,8,95,22,Male,Yes,No,Yes,3,1
Student STU0251,STU0251,stu0251@example.com,69.8,72.7,8,15,18,Female,Yes,No,Yes,4,4
Student STU0252,STU0252,stu0252@example.com,76.6,91.9,8,15,18,Male,No,Yes,Yes,5,5
Student STU0253,STU0253,stu0253@example.com,88.2,76.2,8,15,24,Male,No,No,Yes,4,4
Student STU0254,STU0254,stu0254@example.com,48.5,25.6,8,95,19,Male,No,Yes,Yes,4,1
Student STU0255,STU0255,stu0255@example.com,94.9,91.4,8,15,22,Female,No,No,Yes,6,5
Student STU0256,STU0256,stu0256@example.com,95.7,78.5,8,15,24,Female,Yes,No,Yes,7,7
Student STU0257,STU0257,stu0257@example.com,64.7,84.5,8,15,20,Female,No,No,Yes,4,3
Student STU0258,STU0258,stu0258@example.com,93.6,88.3,8,15,20,Female,Yes,No,Yes,7,7
Student STU0259,STU0259,stu0259@example.com,87.4,99.1,8,15,23,Male,Yes,No,Yes,7,6
Student STU0260,STU0260,stu0260@example.com,100.0,64.0,8,15,25,Female,No,No,Yes,7,6
Student STU0261,STU0261,stu0261@example.com,6.0,18.2,8,95,18,Male,No,No,Yes,6,4
Student STU0262,STU0262,stu0262@example.com,100.0,76.9,8,15,20,Female,No,No,Yes,7,6
Student STU0263,STU0263,stu0263@example.com,55.4,82.2,8,15,19,Male,Yes,No,No,7,7
Student STU0264,STU0264,stu0264@example.com,30.3,8.4,8,95,18,Female,No,Yes,No,3,0
Student STU0265,STU0265,stu0265@example.com,46.6,13.0,8,95,22,Male,No,Yes,No,3,0
Student STU0266,STU0266,stu0266@example.com,30.9,30.4,8,95,20,Female,Yes,Yes,No,6,2
Student STU0267,STU0267,stu0267@example.com,70.3,65.8,8,15,22,Female,Yes,No,Yes,4,3
Student STU0268,STU0268,stu0268@example.com,67.8,77.1,8,15,22,Female,No,Yes,Yes,4,4
Student STU0269,STU0269,stu0269@example.com,83.8,81.1,8,15,20,Female,Yes,No,Yes,6,5
Student STU0270,STU0270,stu0270@example.com,20.0,9.4,8,95,22,Female,No,No,Yes,3,2
Student STU0271,STU0271,stu0271@example.com,83.0,83.6,8,15,19,Male,No,No,Yes,7,6
